date,time,ticker,name,fill,qty,err,krx_open,prev_close,prev_range,k,offset,t_open,t_prevc,bp_vs_open,bp_vs_prevc,gap_bp,fill_vs_krxopen_bp,day_low,day_high,day_close,fill_below_open
2026-07-10,09:00:51,105560,KB금융,176700.0,1,,179900,171400,6600,0.6317,4169,184069,175569,-400.3,64.4,495.9,-177.9,175000,189900,184400,1
2026-07-10,10:36:09,010120,LS ELECTRIC,204500.0,1,,197000,189400,14500,0.4394,6371,203371,195771,55.5,445.9,401.3,380.7,195400,206000,202500,0
2026-07-13,09:56:48,068270,셀트리온,179300.0,1,,175300,175200,6500,0.6089,3958,179258,179158,2.3,7.9,5.7,228.2,173900,180800,175100,0
2026-07-13,10:06:04,087010,펩트론,115700.0,1,,109000,111600,11100,0.5671,6294,115294,117894,35.2,-186.1,-233.0,614.7,104000,122200,108200,0
2026-07-15,09:04:23,068270,셀트리온,178900.0,1,,175100,172800,6400,0.6341,4058,179158,176858,-14.4,115.5,133.1,217.0,175100,179300,175700,0
2026-07-15,09:11:44,247540,에코프로비엠,122600.0,1,,116100,112600,12600,0.4994,6292,122392,118892,17.0,311.9,310.8,559.9,116100,124000,120900,0
2026-07-16,09:00:14,055550,신한지주,109300.0,1,,108600,107300,3700,0.4932,1824,110424,109124,-101.8,16.1,121.2,64.5,105000,112400,107900,0
2026-07-16,09:02:19,000270,기아,145900.0,1,,143400,145000,5000,0.5046,2523,145923,147523,-1.6,-110.0,-110.3,174.3,142400,150500,149700,0
2026-07-20,09:03:12,095610,테스,203000.0,1,,189900,194300,25600,0.5266,13481,203381,207781,-18.7,-230.1,-226.5,689.8,165500,203500,170800,0
2026-07-20,09:09:52,073240,금호타이어,6080.0,13,,5710,5850,470,0.4907,230,5940,6080,235.7,0.0,-239.3,648.0,5700,6220,6100,0
2026-07-21,12:59:14,034020,두산에너빌리티,67200.0,1,,64700,64800,3200,0.5479,1753,66453,66553,112.4,97.2,-15.4,386.4,63000,67400,66800,0
2026-07-21,15:40:00,000270,기아,144500.0,1,,139500,140000,8200,0.4842,3970,143470,143970,71.8,36.8,-35.7,358.4,137300,144900,144600,0
2026-07-22,09:00:32,316140,우리금융지주,31700.0,2,,31000,30500,1050,0.5799,608,31608,31108,29.1,190.3,163.9,225.8,30550,31800,30650,0
2026-07-22,09:01:34,064350,현대로템,160100.0,1,,155700,153100,10900,0.4042,4405,160105,157505,-0.3,164.8,169.8,282.6,155700,160800,155800,0
2026-07-23,09:00:18,058610,에스피지,88300.0,1,,90300,82600,7200,0.5546,3993,94293,86593,-635.6,197.1,932.2,-221.5,81200,90500,83700,1
2026-07-23,09:04:25,086520,에코프로,78900.0,1,,77700,77100,3800,0.3962,1505,79205,78605,-38.5,37.5,77.8,154.4,76900,84800,84300,0
2026-07-23,10:05:30,010140,삼성중공업,22350.0,1,,21650,21600,750,0.5363,402,22052,22002,135.1,158.2,23.1,323.3,21600,23650,23650,0
2026-07-30,10:36:16,010140,삼성중공업,21250.0,1,,18820,19400,2460,0.5681,1397,20217,20797,511.0,217.8,-299.0,1291.2,18820,21450,20550,0
2026-07-31,09:30:15,073240,금호타이어,6800.0,1,,6230,6080,900,0.5699,512,6742,6592,86.0,315.5,246.7,914.9,5980,7450,7290,0
2026-08-06,09:03:00,073240,금호타이어,7650.0,1,,7200,7380,700,0.5532,387,7587,7767,83.0,-150.6,-243.9,625.0,7120,8470,7940,0
2026-08-13,09:03:58,073240,금호타이어,7770.0,1,,7410,7420,540,0.5554,299,7709,7719,79.1,66.1,-13.5,485.8,7400,8390,8140,0
2026-08-18,14:21:51,257720,실리콘투,45200.0,3,,43000,42850,3450,0.5909,2038,45038,44888,36.0,69.5,35.0,511.6,40950,47150,44500,0
2026-08-18,15:03:27,007660,이수페타시스,102200.0,1,,97500,95600,8900,0.5398,4804,102304,100404,-10.2,178.9,198.7,482.1,95500,107600,102900,0
2026-08-19,09:29:49,108490,로보티즈,291500.0,1,,273500,279000,32500,0.4784,15546,289046,294546,84.9,-103.4,-197.1,658.1,265500,295500,267000,0
2026-08-19,10:37:57,222800,심텍,115300.0,1,,103900,110900,9300,0.6172,5740,109640,116640,516.2,-114.9,-631.2,1097.2,101800,118800,110700,0
2026-08-19,10:38:32,007660,이수페타시스,108900.0,1,,99900,102900,12100,0.5244,6345,106245,109245,249.9,-31.6,-291.5,900.9,97600,110800,104400,0
2026-08-20,09:00:06,068270,셀트리온,201500.0,1,,199100,194100,5700,0.548,3123,202223,197223,-35.8,216.9,257.6,120.5,194000,202000,194100,0
2026-08-20,09:22:24,016360,삼성증권,89700.0,1,,86700,85000,3800,0.4987,1894,88594,86894,124.8,322.9,200.0,346.0,86400,93900,92400,0
2026-08-20,15:40:00,028260,삼성물산,375000.0,1,,357000,347000,15000,0.5754,8631,365631,355631,256.2,544.6,288.2,504.2,349000,377500,374000,0
2026-08-21,09:00:31,034020,두산에너빌리티,77100.0,1,,77900,75900,1600,0.5686,909,78809,76809,-216.9,37.9,263.5,-102.7,72500,77900,73300,1
2026-08-21,09:49:18,086790,하나금융지주,126900.0,1,,124500,123400,5300,0.5895,3124,127624,126524,-56.7,29.7,89.1,192.8,123000,129800,128800,0
2026-08-21,10:31:32,017670,SK텔레콤,100500.0,1,,94900,96600,4500,0.5639,2537,97437,99137,314.4,137.5,-176.0,590.1,94800,103800,102200,0
2026-08-24,09:00:21,035420,NAVER,232000.0,1,,231000,222000,11000,0.6521,7173,238173,229173,-259.2,123.4,405.4,43.3,221000,235000,223500,0
2026-08-24,09:07:22,096770,SK이노베이션,129600.0,1,,124800,124800,6300,0.548,3452,128252,128252,105.1,105.1,0.0,384.6,124700,134500,130100,0
2026-08-24,15:40:00,373220,LG에너지솔루션,361500.0,1,,347000,343500,14500,0.5197,7535,354535,351035,196.5,298.1,101.9,417.9,344500,363500,362000,0
2026-08-25,09:23:02,055550,신한지주,105700.0,1,,104100,103300,2400,0.6488,1557,105657,104857,4.1,80.4,77.4,153.7,102800,107800,106500,0
2026-08-25,09:27:00,086790,하나금융지주,130600.0,1,,128600,128700,3000,0.5562,1668,130268,130368,25.5,17.8,-7.8,155.5,128000,132700,130800,0
2026-08-25,15:40:00,034020,두산에너빌리티,80700.0,1,,74700,73000,1700,0.525,892,75592,73892,675.7,921.3,232.9,803.2,72600,81600,80700,0
2026-08-26,09:01:06,007660,이수페타시스,108500.0,1,,107100,106900,9600,0.5586,5362,112462,112262,-352.3,-335.1,18.7,130.7,106000,111900,110800,0
2026-08-26,09:06:00,015760,한국전력,34150.0,3,,33400,32700,1800,0.676,1216,34616,33916,-134.6,69.0,214.1,224.6,33050,36400,34800,0
2026-08-26,15:40:22,028260,삼성물산,387500.0,1,,372000,367000,14000,0.5412,7576,379576,374576,208.8,345.0,136.2,416.7,367000,390000,387500,0
2026-08-27,09:00:27,017670,SK텔레콤,103200.0,1,,101800,99600,3600,0.5682,2045,103845,101645,-62.1,153.0,220.9,137.5,97000,103600,99100,0
2026-08-27,09:00:31,222800,심텍,119800.0,1,,121800,112700,7900,0.5933,4686,126486,117386,-528.6,205.6,807.5,-164.2,116800,128950,126900,1
2026-08-27,10:03:23,086790,하나금융지주,134100.0,1,,134900,133200,2700,0.5518,1489,136389,134689,-167.8,-43.7,127.6,-59.3,131500,136200,133600,1
2026-08-28,09:04:37,035420,NAVER,228500.0,1,,220000,216500,11500,0.6889,7922,227922,224422,25.4,181.7,161.7,386.4,218500,229000,220500,0
2026-08-28,09:15:51,257720,실리콘투,51100.0,2,,49200,49150,2900,0.5989,1736,50936,50886,32.2,42.1,10.2,386.2,49150,53700,53300,0
2026-08-31,09:00:39,000880,한화,136600.0,1,,134800,134900,6300,0.6085,3833,138633,138733,-146.6,-153.7,-7.4,133.5,133500,140000,135500,0
2026-08-31,09:09:45,003670,포스코퓨처엠,191100.0,1,,184700,186300,8700,0.4814,4188,188888,190488,117.1,32.1,-85.9,346.5,183200,201000,200500,0
2026-09-01,09:00:36,047810,한국항공우주,138300.0,1,,134100,131000,8000,0.4271,3416,137516,134416,57.0,289.0,236.6,313.2,125500,139800,127200,0
2026-09-01,09:03:14,010950,S-Oil,155300.0,1,,150400,150100,4500,0.5787,2604,153004,152704,150.1,170.0,20.0,325.8,150300,160000,151700,0
2026-09-01,09:06:36,096770,SK이노베이션,134400.0,1,,126900,125500,10700,0.5368,5743,132643,131243,132.5,240.5,111.6,591.0,125800,138500,135300,0
2026-09-02,09:00:44,108490,로보티즈,247000.0,1,,245500,254000,18000,0.5101,9181,254681,263181,-301.6,-614.8,-334.6,61.1,243000,257500,247000,0
2026-09-02,09:01:17,055550,신한지주,110800.0,1,,110500,111100,4000,0.5824,2329,112829,113429,-179.8,-231.8,-54.0,27.1,110000,113900,110500,0
2026-09-03,09:05:03,105560,KB금융,174000.0,1,,171600,169100,6300,0.609,3836,175436,172936,-81.9,61.5,147.8,139.9,169400,180700,177900,0
2026-09-03,09:11:23,086790,하나금융지주,137700.0,1,,136100,134900,4200,0.5032,2113,138213,137013,-37.1,50.1,89.0,117.6,133800,141100,139500,0
2026-09-04,09:00:29,000270,기아,131200.0,1,,127400,127400,4600,0.5272,2425,129825,129825,105.9,105.9,0.0,298.3,127400,127400,127400,0
2026-09-04,09:03:21,078930,GS,125100.0,1,,118900,118900,7500,0.5546,4159,123059,123059,165.9,165.9,0.0,521.4,118900,118900,118900,0
