date,time,ticker,name,fill,qty,k,prev_range,offset,krx_open,prev_close,t_open,t_prevc,bp_vs_open,bp_vs_prevc,implied_open_cap,cap_minus_krxopen_bp,cap_minus_prevc_bp,viol_open,viol_prevc,gap_bp,stub
2026-05-13,13:12:42,005930,삼성전자,284250.0,1,0.5901,25500,19562,264000,279000,283562,298562,24.3,-479.4,264688.0,26.1,-513.0,0,1,-537.6,0
2026-05-15,14:33:45,066570,LG전자,237000.0,1,0.5365,23500,16390,256000,217000,272390,233390,-1299.2,154.7,220610.0,-1382.4,166.4,1,0,1797.2,0
2026-05-18,11:16:27,005930,삼성전자,286500.0,1,0.4902,30500,19435,269500,270500,288935,289935,-84.3,-118.5,267065.0,-90.4,-127.0,1,1,-37.0,0
2026-05-18,12:40:41,034020,두산에너빌리티,113200.0,1,0.4969,10500,6782,108100,110800,114882,117582,-146.4,-372.7,106418.0,-155.6,-395.5,1,1,-243.7,0
2026-05-20,08:15:05,042700,,310500.0,1,0.5803,28500,21498,295000,288000,316498,309498,-189.5,32.4,289002.0,-203.3,34.8,1,0,243.1,0
2026-05-20,11:14:16,042700,한미반도체,300000.0,1,0.5803,28500,21498,295000,288000,316498,309498,-521.3,-306.9,278502.0,-559.3,-329.8,1,1,243.1,0
2026-05-21,09:03:57,000250,삼천당제약,363500.0,1,0.6576,27000,23080,356000,347000,379080,370080,-411.0,-177.8,340420.0,-437.6,-189.6,1,1,259.4,0
2026-05-21,09:29:15,066570,LG전자,199000.0,1,0.523,14800,10062,192300,181000,202362,191062,-166.1,415.5,188938.0,-174.8,438.6,1,0,624.3,0
2026-05-22,08:03:21,066570,LG전자,245500.0,1,0.5069,44000,28995,241000,235000,269995,263995,-907.2,-700.6,216505.0,-1016.4,-787.0,1,1,255.3,0
2026-05-22,09:11:50,000250,삼천당제약,373000.0,1,0.6795,23000,20317,362000,355000,382317,375317,-243.7,-61.7,352683.0,-257.4,-65.3,1,1,197.2,0
2026-06-01,09:11:31,005930,삼성전자,326000.0,1,0.5124,13500,8990,319500,317000,328490,325990,-75.8,0.3,317010.0,-77.9,0.3,1,0,78.9,0
2026-06-01,11:40:44,035420,NAVER,268500.0,1,0.5001,36500,23730,251000,234000,274730,257730,-226.8,417.9,244770.0,-248.2,460.3,1,0,726.5,0
2026-06-04,09:05:08,000250,삼천당제약,315500.0,1,0.6629,15000,12925,293000,302000,305925,314925,313.0,18.3,302575.0,326.8,19.0,0,0,-298.0,0
2026-06-04,11:13:40,028260,삼성물산,527000.0,1,0.509,56500,37384,502000,485500,539384,522884,-229.6,78.7,489616.0,-246.7,84.8,1,0,339.9,0
2026-06-08,09:34:24,005930,삼성전자,305500.0,1,0.5051,18000,11818,293000,329000,304818,340818,22.4,-1036.3,293682.0,23.3,-1073.5,0,1,-1094.2,0
2026-06-08,09:34:27,035420,NAVER,255000.0,1,0.5677,21500,15867,239500,255500,255367,271367,-14.4,-603.1,239133.0,-15.3,-640.6,1,1,-626.2,0
2026-06-10,09:31:56,000250,삼천당제약,261000.0,1,0.5945,23500,18159,240500,242500,258659,260659,90.5,13.1,242841.0,97.3,14.1,0,0,-82.5,0
2026-06-12,09:00:20,066570,LG전자,236500.0,1,0.4963,20500,13226,236500,226000,249726,239226,-529.6,-114.0,223274.0,-559.2,-120.6,1,1,464.6,0
2026-06-15,09:00:30,005490,POSCO홀딩스,396500.0,1,0.6159,16000,12808,396000,377000,408808,389808,-301.1,171.7,383692.0,-310.8,177.5,1,0,504.0,0
2026-06-15,09:01:23,016360,삼성증권,123100.0,1,0.4705,4400,2691,123600,118800,126291,121491,-252.7,132.4,120409.0,-258.2,135.4,1,0,404.0,0
