date,time,ticker,name,fill,offset,k,krx_open,day_low,day_high,prev_close,t_open,t_prevc,bp_vs_open,bp_vs_prevc,implied_open_cap,cap_below_krxopen,cap_below_daylow,cap_vs_daylow_bp,gap_bp,early
2026-05-18,12:40:41,034020,두산에너빌리티,113200.0,6782,0.4969,108100,103500,113600,110800,114882,117582,-146.4,-372.7,106418.0,1,0,281.9,-243.7,0
2026-05-20,08:15:05,042700,,310500.0,21498,0.5803,295000,283000,300500,288000,316498,309498,-189.5,32.4,289002.0,1,0,212.1,243.1,0
2026-05-20,11:14:16,042700,한미반도체,300000.0,21498,0.5803,295000,283000,300500,288000,316498,309498,-521.3,-306.9,278502.0,1,1,-158.9,243.1,0
2026-05-21,09:03:57,000250,삼천당제약,363500.0,23080,0.6576,356000,351000,374000,347000,379080,370080,-411.0,-177.8,340420.0,1,1,-301.4,259.4,0
2026-05-21,09:29:15,066570,LG전자,199000.0,10062,0.523,192300,191000,235000,181000,202362,191062,-166.1,415.5,188938.0,1,1,-108.0,624.3,0
2026-05-22,08:03:21,066570,LG전자,245500.0,28995,0.5069,241000,228000,247500,235000,269995,263995,-907.2,-700.6,216505.0,1,1,-504.2,255.3,0
2026-05-22,09:11:50,000250,삼천당제약,373000.0,20317,0.6795,362000,359000,383500,355000,382317,375317,-243.7,-61.7,352683.0,1,1,-176.0,197.2,0
2026-06-01,09:11:31,005930,삼성전자,326000.0,8990,0.5124,319500,319500,354500,317000,328490,325990,-75.8,0.3,317010.0,1,1,-77.9,78.9,0
2026-06-01,11:40:44,035420,NAVER,268500.0,23730,0.5001,251000,244500,304000,234000,274730,257730,-226.8,417.9,244770.0,1,0,11.0,726.5,0
2026-06-04,09:05:08,000250,삼천당제약,315500.0,12925,0.6629,293000,290500,325000,302000,305925,314925,313.0,18.3,302575.0,0,0,415.7,-298.0,0
2026-06-04,11:13:40,028260,삼성물산,527000.0,37384,0.509,502000,485000,565000,485500,539384,522884,-229.6,78.7,489616.0,1,0,95.2,339.9,0
2026-06-08,09:34:24,005930,삼성전자,305500.0,11818,0.5051,293000,292500,315500,329000,304818,340818,22.4,-1036.3,293682.0,0,0,40.4,-1094.2,0
2026-06-08,09:34:27,035420,NAVER,255000.0,15867,0.5677,239500,238500,294000,255500,255367,271367,-14.4,-603.1,239133.0,1,0,26.5,-626.2,0
2026-06-10,09:31:56,000250,삼천당제약,261000.0,18159,0.5945,240500,237000,270500,242500,258659,260659,90.5,13.1,242841.0,0,0,246.5,-82.5,0
2026-06-12,09:00:20,066570,LG전자,236500.0,13226,0.4963,236500,223000,247500,226000,249726,239226,-529.6,-114.0,223274.0,1,0,12.3,464.6,1
2026-06-15,09:00:30,005490,POSCO홀딩스,396500.0,12808,0.6159,396000,388000,398000,377000,408808,389808,-301.1,171.7,383692.0,1,1,-111.0,504.0,1
2026-06-15,09:01:23,016360,삼성증권,123100.0,2691,0.4705,123600,120900,127900,118800,126291,121491,-252.7,132.4,120409.0,1,1,-40.6,404.0,1
2026-06-16,09:00:16,034020,두산에너빌리티,104800.0,2532,0.5413,105100,101800,105500,99800,107632,102332,-263.1,241.2,102268.0,1,0,46.0,531.1,1
2026-06-16,09:02:15,064350,현대로템,225500.0,10506,0.5388,221000,218500,240000,213000,231506,223506,-259.4,89.2,214994.0,1,1,-160.5,375.6,0
2026-06-17,10:05:54,095610,테스,173600.0,10077,0.5618,166800,165000,177900,169200,176877,179277,-185.3,-316.7,163523.0,1,1,-89.5,-141.8,0
2026-06-17,14:03:23,196170,알테오젠,366500.0,12944,0.5106,365000,348500,378000,352500,377944,365444,-302.8,28.9,353556.0,1,0,145.1,354.6,0
2026-06-19,09:04:55,010120,LS ELECTRIC,268000.0,12600,0.4039,254000,244000,276500,242000,266600,254600,52.5,526.3,255400.0,0,0,467.2,495.9,0
2026-06-23,09:00:18,010120,LS ELECTRIC,249000.0,7988,0.439,251000,230500,266500,245000,258988,252988,-385.7,-157.6,241012.0,1,0,456.1,244.9,1
2026-06-23,09:00:31,105560,KB금융,159500.0,2805,0.6167,157400,151400,163800,157000,160205,159805,-44.0,-19.1,156695.0,1,0,349.7,25.5,1
2026-06-25,12:08:48,003490,대한항공,29350.0,1292,0.5682,28100,28050,29600,27350,29392,28642,-14.3,247.2,28058.0,1,0,2.9,274.2,0
2026-06-29,09:14:34,247540,에코프로비엠,142500.0,8742,0.4703,133000,132400,156500,133700,141742,142442,53.5,4.1,133758.0,0,0,102.6,-52.4,0
2026-07-01,09:00:25,247540,에코프로비엠,136400.0,7688,0.4888,134300,129500,142500,142500,141988,150188,-393.6,-918.0,128712.0,1,1,-60.8,-575.4,1
2026-07-02,10:20:58,033780,KT&G,171900.0,4803,0.596,169000,165300,175600,167100,173803,171903,-109.5,-0.2,167097.0,1,0,108.7,113.7,0
2026-07-02,10:37:16,267250,HD현대,216500.0,6418,0.4408,209000,195300,217500,210000,215418,216418,50.2,3.8,210082.0,0,0,756.9,-47.6,0
2026-07-08,09:18:30,066570,LG전자,197500.0,9863,0.5381,187400,186400,206000,189100,197263,198963,12.0,-73.5,187637.0,0,0,66.4,-89.9,0
2026-07-08,10:02:12,105560,KB금융,176300.0,6996,0.6407,176200,169200,176600,173200,183196,180196,-376.4,-216.2,169304.0,1,0,6.1,173.2,0
2026-07-09,09:46:16,247540,에코프로비엠,117700.0,5616,0.5469,113300,109400,117900,112600,118916,118216,-102.3,-43.6,112084.0,1,0,245.3,62.2,0
2026-07-10,09:00:51,105560,KB금융,176700.0,5569,0.6492,179900,175000,189900,171400,185469,176969,-472.8,-15.2,171131.0,1,1,-221.1,495.9,1
2026-07-10,10:36:09,010120,LS ELECTRIC,204500.0,9024,0.4788,197000,195400,206000,189400,206024,198424,-74.0,306.2,195476.0,1,0,3.9,401.3,0
2026-07-13,09:56:48,068270,셀트리온,179300.0,4583,0.5425,175300,173900,180800,175200,179883,179783,-32.4,-26.9,174717.0,1,0,47.0,5.7,0
2026-07-13,10:06:04,087010,펩트론,115700.0,7619,0.5281,109000,104000,122200,111600,116619,119219,-78.8,-295.2,108081.0,1,0,392.4,-233.0,0
2026-07-15,09:04:23,068270,셀트리온,178900.0,4628,0.5563,175100,175100,179300,172800,179728,177428,-46.1,83.0,174272.0,1,1,-47.3,133.1,0
2026-07-15,09:11:44,247540,에코프로비엠,122600.0,8487,0.5182,116100,116100,124000,112600,124587,121087,-159.5,125.0,114113.0,1,1,-171.1,310.8,0
2026-07-16,09:00:14,055550,신한지주,109300.0,2194,0.4563,108600,105000,112400,107300,110794,109494,-134.8,-17.7,107106.0,1,0,200.6,121.2,1
2026-07-16,09:02:19,000270,기아,145900.0,3689,0.5676,143400,142400,150500,145000,147089,148689,-80.8,-187.6,142211.0,1,1,-13.3,-110.3,0
2026-07-20,09:03:12,095610,테스,203000.0,18144,0.5452,189900,165500,203500,194300,208044,212444,-242.4,-444.5,184856.0,1,0,1169.5,-226.5,0
2026-07-20,09:09:52,073240,금호타이어,6080.0,343,0.5619,5710,5700,6220,5850,6053,6193,44.6,-182.5,5737.0,0,0,64.9,-239.3,0
2026-07-21,12:59:14,034020,두산에너빌리티,67200.0,2445,0.5879,64700,63000,67400,64800,67145,67245,8.2,-6.7,64755.0,0,0,278.6,-15.4,0
2026-07-21,15:40:00,000270,기아,144500.0,5343,0.5013,139500,137300,144900,140000,144843,145343,-23.7,-58.0,139157.0,1,0,135.3,-35.7,0
2026-07-22,09:00:32,316140,우리금융지주,31700.0,891,0.6538,31000,30550,31800,30500,31891,31391,-59.9,98.4,30809.0,1,0,84.8,163.9,1
2026-07-22,09:01:34,064350,현대로템,160100.0,5630,0.3974,155700,155700,160800,153100,161330,158730,-76.2,86.3,154470.0,1,1,-79.0,169.8,0
2026-07-23,09:00:18,058610,에스피지,88300.0,5653,0.604,90300,81200,90500,82600,95953,88253,-797.6,5.3,82647.0,1,0,178.2,932.2,1
