score,outcome,period,bucket,n,n_days,n_tickers,mean_bp,median_bp,win_rate,mean_net_bp,win_rate_net,se_cluster,t_vs0,p_vs0
rs,ret_bo_simple_bp,prior,Q1,26,8,,4.74,-53.64,0.4231,-23.26,0.3846,62.29,0.08,0.9414
rs,ret_bo_simple_bp,prior,Q2,22,10,,59.89,55.47,0.5455,31.89,0.5455,91.39,0.66,0.5287
rs,ret_bo_simple_bp,prior,Q3,29,9,,58.82,12.53,0.5172,30.82,0.4483,71.26,0.83,0.4331
rs,ret_bo_simple_bp,prior,Q4,38,9,,61.22,-126.68,0.3684,33.22,0.3421,111.35,0.55,0.5975
rs,ret_bo_simple_bp,prior,NA,82,16,,-71.18,52.13,0.561,-99.18,0.5488,145.45,-0.49,0.6317
rs,ret_bo_simple_bp,new,Q1,45,13,,-29.67,6.51,0.5111,-57.67,0.4889,74.47,-0.4,0.6973
rs,ret_bo_simple_bp,new,Q2,35,12,,17.93,36.0,0.5143,-10.07,0.5143,86.76,0.21,0.8401
rs,ret_bo_simple_bp,new,Q3,29,10,,70.21,-19.12,0.4483,42.21,0.3793,84.56,0.83,0.4278
rs,ret_bo_simple_bp,new,Q4,34,11,,93.99,61.77,0.5294,65.99,0.5294,100.1,0.94,0.3699
rs,ret_bo_simple_bp,new,NA,8,6,,131.15,-6.13,0.5,103.15,0.375,84.17,1.56,0.1799
rs,ret_bo_simple_stoplb_bp,all,Q1,71,21,,3.68,-12.95,0.4789,-24.32,0.4507,40.27,0.09,0.9282
rs,ret_bo_simple_stoplb_bp,all,Q2,57,22,,49.49,36.12,0.5263,21.49,0.5263,56.97,0.87,0.3948
rs,ret_bo_simple_stoplb_bp,all,Q3,58,19,,77.39,-7.61,0.4828,49.39,0.4138,50.28,1.54,0.1411
rs,ret_bo_simple_stoplb_bp,all,Q4,72,20,,128.41,-61.46,0.4444,100.41,0.4306,70.83,1.81,0.0857
